country,prov_name,iso_alpha3,data_year,total_precipitation,spei_index,drought_status,year,spei_Eastern Cape,spei_Free State,spei_Gauteng,spei_KwaZulu-Natal,spei_Limpopo,spei_Mpumalanga,spei_North West,spei_Northern Cape,spei_Western Cape,Total precipitation_Eastern Cape,Total precipitation_Free State,Total precipitation_Gauteng,Total precipitation_KwaZulu-Natal,Total precipitation_Limpopo,Total precipitation_Mpumalanga,Total precipitation_North West,Total precipitation_Northern Cape,Total precipitation_Western Cape,gwsa_Eastern Cape,gwsa_Free State,gwsa_Gauteng,gwsa_KwaZulu-Natal,gwsa_Limpopo,gwsa_Mpumalanga,gwsa_North West,gwsa_Northern Cape,gwsa_Western Cape,spei_status_Eastern Cape,spei_status_Free State,spei_status_Gauteng,spei_status_KwaZulu-Natal,spei_status_Limpopo,spei_status_Mpumalanga,spei_status_North West,spei_status_Northern Cape,spei_status_Western Cape
Botswana,Free State,BOT,01/11/19,42.16653559,-2.6125424,extreme,01/12/03,-1.0869882,-1.3944463,-1.6362835,-2.04746,-1.4307393,-1.875617,-1.0113313,-0.5909285,-0.5313468,55.8927221,68.0522943,73.5632011,91.9525354,65.7743081,89.2308531,49.8573412,8.7588108,19.4083283,1.9167843,-0.1824574,-0.0071476,1.1166703,3.641999,2.7419434,-0.1576562,1.0599145,1.7837121,Moderate drought,Moderate drought,Severe drought,Extreme drought,Moderate drought,Severe drought,Moderate drought,Near normal,Near normal
Botswana,Free State,BOT,01/12/19,114.837931,-1.7932063,extreme,01/01/04,-0.3373042,-0.7634642,-1.2667413,-0.6393257,-0.9803277,-1.0524514,-0.5951309,0.07913923,-0.3594708,121.476629,113.137223,130.869094,168.88731,95.6334322,165.273428,89.7218219,70.634539,29.2981064,1.9783748,-0.5577456,0.1410654,2.0035267,1.4905111,1.584827,-1.158045,-0.1311899,1.9403294,Near normal,Near normal,Moderate drought,Near normal,Near normal,Moderate drought,Near normal,Near normal,Near normal
Botswana,Free State,BOT,01/01/20,89.46277223,-0.9565832,extreme,01/02/04,0.2049601,-0.6370087,0.04584235,-0.003654,0.0129028,0.05975739,-0.3719782,0.03520298,0.07580938,99.820595,92.4980145,143.421555,177.981168,99.7000945,173.409488,85.0823885,35.3624559,29.172315,-0.1789405,-1.3011104,-0.1099293,-0.460514,2.6400821,0.5984722,-0.3361929,-0.3991447,2.1584945,Near normal,Near normal,Near normal,Near normal,Near normal,Near normal,Near normal,Near normal,Near normal
Botswana,Free State,BOT,01/02/20,118.8214957,0.010876956,extreme,01/03/04,0.52086145,0.24782518,1.0564814,0.65988094,1.0607142,1.0133662,0.30499932,0.18504992,0.1879677,85.1178281,105.390744,140.383179,119.573829,94.0439227,132.390033,119.58855,33.2023295,18.7700435,-2.5549693,-1.170302,-3.1665928,-3.1168172,0.33710158,0.47288704,-0.2188066,-1.0905216,0.01818815,Near normal,Near normal,Moderately wet,Near normal,Moderately wet,Moderately wet,Near normal,Near normal,Near normal
Botswana,Free State,BOT,01/03/20,81.08354728,0.001498911,extreme,01/04/04,0.21465936,0.33413914,1.1778704,0.20744926,1.3051927,0.9998395,0.27817214,0.0382452,0.47550786,59.9749227,43.570853,22.968924,27.7838682,27.302999,41.5788245,40.934893,55.6256553,59.7158668,-3.7159612,-3.3097363,-1.4372058,-1.3209614,-2.8100057,-2.7475042,-0.780379,-2.4759905,-1.7057326,Near normal,Near normal,Moderately wet,Near normal,Moderately wet,Near normal,Near normal,Near normal,Near normal
Botswana,Free State,BOT,01/04/20,89.6803592,0.59302557,extreme,01/05/04,-0.1237765,0.02601448,0.42275897,-0.6805121,1.3902342,0.27560112,-0.1151346,-0.356081,-0.3449006,5.4215728,2.29592614,6.63453537,12.4333686,3.59713508,7.45115367,4.64891403,0.99478321,5.74901483,-1.3800184,-1.7687836,0.42088723,2.3177109,0.04086673,0.13922882,0.10481988,-1.0621277,-0.2319197,Near normal,Near normal,Near normal,Near normal,Moderately wet,Near normal,Near normal,Near normal,Near normal
Botswana,Free State,BOT,01/05/20,0.248818955,0.2824554,extreme,01/06/04,-0.4726775,-0.7641176,-0.7664312,-1.3705187,-0.4967889,-0.8280023,-0.7300013,-0.5301562,-0.2135511,20.901414,11.2398695,10.8443174,10.4256328,2.98633122,9.47167769,4.17774232,9.02616737,44.5784408,-0.5824677,-2.8999627,-0.3059891,2.7823913,-2.5151172,-0.4608068,-0.7162814,-0.6550849,-0.2104025,Near normal,Near normal,Near normal,Moderate drought,Near normal,Near normal,Near normal,Near normal,Near normal
Botswana,Free State,BOT,01/06/20,6.069314661,0.092507266,extreme,01/07/04,-0.4218381,-0.8424551,-0.3393153,0.60194147,-0.3146465,0.38223788,-1.1270189,-1.55864,-0.824675,29.4227253,9.75432316,11.6112839,61.172309,15.9113178,39.143274,3.54052027,3.8158054,26.3443921,0.6783704,-1.4887627,0.6760159,2.738101,-1.3355131,0.5980116,0.73745376,1.3131527,1.6636608,Near normal,Near normal,Near normal,Near normal,Near normal,Near normal,Moderate drought,Severe drought,Near normal
Botswana,Free State,BOT,01/07/20,1.450736826,-1.3558751,moderate ,01/08/04,-0.181624,-0.2944641,-0.1327964,0.5467452,-0.4523945,0.23690937,-0.8456686,-0.8727198,-0.1377081,25.4445671,18.5479325,14.2568685,27.0984079,10.4436076,14.5064507,7.53492524,4.4797343,30.9647891,0.9477809,-1.2556894,-0.1917619,2.5637312,-1.4799099,0.19941334,0.0125879,0.3470397,0.825629,Near normal,Near normal,Near normal,Near normal,Near normal,Near normal,Near normal,Near normal,Near normal
Botswana,Free State,BOT,01/08/20,2.564048927,-0.826298,near normal,01/09/04,1.0242114,0.44526234,-0.2959805,0.69410235,-0.3453813,-0.0691623,-0.1118915,0.09323703,-0.3740903,88.5840612,37.440285,3.91452201,63.9602374,4.31297642,19.3199284,8.61821973,21.9493724,21.947486,-0.6038563,-0.7776685,0.34977493,0.85085994,-1.7901622,-0.1968565,-0.1350078,-0.043022,1.4435725,Moderately wet,Near normal,Near normal,Near normal,Near normal,Near normal,Near normal,Near normal,Near normal
South Africa,Gauteng,ZAR,01/06/19,0.051719311,0.6994316,near normal,01/10/04,0.2779466,-0.3889382,-1.2244216,-0.8145597,-0.9162547,-1.07044,-0.621792,0.08124445,0.20498116,42.7340467,47.0531553,43.2565192,61.9737846,23.850677,48.8201383,38.6918632,26.8801474,54.9811704,-3.7167785,-0.9768559,-0.2409231,1.3722203,-2.5013123,-0.3897556,0.07964825,0.7527427,2.16625,Near normal,Near normal,Moderate drought,Near normal,Near normal,Moderate drought,Near normal,Near normal,Near normal
South Africa,Gauteng,ZAR,01/07/19,0.035239762,-2.6057878,near normal,01/11/04,-0.2347384,-1.0343617,-1.5262669,-0.4946413,-1.5926865,-0.9520905,-1.3512645,-0.9048885,-0.4593692,55.9876403,40.5231291,77.9599255,116.03724,37.9222536,114.481924,28.1290813,6.38333607,7.10091123,-0.5679806,1.0868335,1.0123279,1.3608719,-0.7711461,-0.809657,1.5890902,-0.046366,2.6105223,Near normal,Moderate drought,Severe drought,Near normal,Severe drought,Near normal,Moderate drought,Near normal,Near normal
South Africa,Gauteng,ZAR,01/08/19,0.277010386,-4.478447,severe,01/12/04,-0.8038698,-1.2933532,-1.1821542,-0.791837,-1.4605011,-1.1137936,-1.0034142,-1.4509577,-0.0983633,124.682996,127.814389,164.051986,122.118166,107.743662,159.309138,109.149099,27.9490458,36.0440164,-1.3994933,-2.1259546,-2.9384294,-3.5586863,-1.6844397,-4.527134,-1.1286734,0.70239437,2.7339385,Near normal,Moderate drought,Moderate drought,Near normal,Moderate drought,Moderate drought,Moderate drought,Moderate drought,Near normal
South Africa,Gauteng,ZAR,01/09/19,6.970735732,-4.4025235,severe,01/01/05,0.01372374,-0.3420352,-0.1307744,0.143026,-1.3253671,-0.5511001,-0.2465463,-1.3285456,-0.7606748,123.834371,163.946703,160.265279,200.019452,85.173763,169.013186,108.589979,50.4558972,29.8927532,-3.1859932,-4.4389973,-6.895514,-6.473314,0.16175367,-5.495267,-3.7825863,-0.4547049,1.1713096,Near normal,Near normal,Near normal,Near normal,Moderate drought,Near normal,Near normal,Moderate drought,Near normal
South Africa,Gauteng,ZAR,01/10/19,13.77355663,-2.7157679,extreme,01/02/05,0.555147,0.2088082,0.07901245,0.17544663,-0.9604763,-0.537284,0.013146,-0.5945358,-0.0745069,95.6731331,85.6141775,70.2135848,157.462026,38.7559769,85.1475068,54.1064758,38.4905589,22.0184003,-2.6759188,-3.7946503,-3.553665,-4.4459295,3.4681165,-2.8265378,-2.1007373,-1.1586214,0.23130196,Near normal,Near normal,Near normal,Near normal,Near normal,Near normal,Near normal,Near normal,Near normal
South Africa,Gauteng,ZAR,01/11/19,138.939012,-2.0248716,extreme,01/03/05,0.07663743,0.24734496,-0.0989603,0.5262907,-1.0976369,-0.2566297,-0.1290159,-0.2988234,-0.4642076,82.6186893,88.1617947,71.6479348,173.428821,47.0499877,93.4802206,76.294558,38.854578,22.8269024,-2.8711994,-4.557538,-4.502811,-6.7102494,2.6912792,-3.255819,-1.6214219,-0.509775,0.97672784,Near normal,Near normal,Near normal,Near normal,Moderate drought,Near normal,Near normal,Near normal,Near normal
South Africa,Gauteng,ZAR,01/12/19,180.6724063,-0.9845513,moderately wet,01/04/05,-0.1896447,-0.0972052,-0.3065542,0.00852336,-0.852672,-0.4990853,-0.0936496,0.00258134,0.3229899,52.9128432,65.2232692,76.660044,40.2964719,41.7303158,66.0770053,74.2711914,50.7461821,66.3629145,-1.8180914,-3.9796593,-2.9623451,-3.064688,4.0299573,-0.8334281,-2.0398865,-1.6843129,-1.5983907,Near normal,Near normal,Near normal,Near normal,Near normal,Near normal,Near normal,Near normal,Near normal
South Africa,Gauteng,ZAR,01/01/20,117.3738564,0.114896655,moderately wet,01/05/05,-0.0368476,-0.0539966,0.00906551,-0.1025715,-0.8357387,-0.4721918,0.2243357,0.41032094,0.5417546,46.9773447,23.7195745,3.48409019,12.4671322,3.55007356,6.57074997,7.90763061,27.074563,36.0810865,-0.8057144,-2.853771,-2.1838505,-0.5367462,3.246843,-0.6222181,-0.9862404,-0.9547152,-2.0490994,Near normal,Near normal,Near normal,Near normal,Near normal,Near normal,Near normal,Near normal,Near normal
South Africa,Gauteng,ZAR,01/02/20,75.71518939,0.33006856,moderately wet,01/06/05,0.07592542,-0.1241452,-0.2288102,-1.1158533,-1.0548904,-1.0549636,0.15748118,0.6046318,0.7003464,13.0320131,13.0452236,1.57028146,21.7418866,2.66543131,4.96909889,2.60178583,6.97835258,36.2965188,0.98571265,-2.660371,-2.1838524,0.26814622,1.9393039,-1.2605283,-1.0902535,-0.3276496,-0.504267,Near normal,Near normal,Near normal,Moderate drought,Moderate drought,Moderate drought,Near normal,Near normal,Near normal
South Africa,Gauteng,ZAR,01/03/20,67.42552856,-0.36106881,moderately wet,01/07/05,-0.6349469,-0.6450191,-1.7966316,-1.0684664,-2.1505842,-1.959614,-1.4789417,-0.3109389,-0.7751497,3.4088182,0.6265451,0.17982284,5.62102032,2.07076907,2.42749323,0.13847079,0.82745542,15.9685764,0.78189963,-2.6050088,-1.5131513,2.2502673,1.3912034,-0.0518348,-1.1044104,0.71660686,-1.4872772,Near normal,Near normal,Severe drought,Moderate drought,Extreme drought,Severe drought,Moderate drought,Near normal,Near normal
South Africa,Gauteng,ZAR,01/04/20,94.01158505,0.23238313,moderately wet,01/08/05,-0.6945223,-0.9044133,-3.4867249,-0.7071208,-3.0548966,-2.8574321,-2.6244164,-0.9390044,-0.8729161,37.9587083,35.2172345,20.3367402,29.9219128,4.05110737,23.5114778,7.08849476,8.78582057,40.0312547,2.759696,-1.8407947,-3.2381551,3.7707217,1.1996009,0.50759137,-1.1748731,0.23143633,0.5612402,Near normal,Near normal,Extreme drought,Near normal,Extreme drought,Extreme drought,Extreme drought,Near normal,Near normal
South Africa,Gauteng,ZAR,01/05/20,0.036624487,0.36445516,moderately wet,01/09/05,-1.1686485,-1.5746112,-3.766288,-1.1709886,-2.6426451,-2.6314716,-2.3173401,-1.3831918,-1.2079619,22.6892172,9.87606861,4.23239416,35.6038995,2.65688047,11.1672466,2.31865496,1.53704218,15.6756318,-0.351661,-1.687627,-1.6656206,1.7584777,1.3574729,0.20675942,-1.1479064,0.15673867,-0.9289951,Moderate drought,Severe drought,Extreme drought,Moderate drought,Extreme drought,Extreme drought,Extreme drought,Moderate drought,Moderate drought
South Africa,Gauteng,ZAR,01/06/20,8.549884195,0.6204527,moderately wet,01/10/05,-1.0310506,-0.8441714,-2.1145608,-1.0184135,-2.3307524,-2.3512745,-1.5814528,-0.4678937,-0.806294,51.9222067,67.522061,23.1215874,86.1131672,7.29680298,44.0853997,16.6448818,19.725163,19.1762265,2.394951,-0.1689754,-1.3181528,2.717791,1.8207847,0.52598155,0.14520983,1.0965332,1.6885812,Moderate drought,Near normal,Extreme drought,Moderate drought,Extreme drought,Extreme drought,Severe drought,Near normal,Near normal
South Africa,Gauteng,ZAR,01/07/20,0.247161923,-0.97810125,moderately wet,01/11/05,-0.0821716,-0.4421289,-1.3554595,-0.4784887,-1.6963807,-1.2571659,-1.08075,-0.4277513,-0.5637164,125.574344,80.0163071,129.320614,153.888977,67.2912135,137.624523,65.6086068,32.4965679,43.6219121,2.6005876,-0.2113002,-1.8332677,-1.6674422,-0.332073,-1.3992782,0.60204923,1.3371264,3.3909297,Near normal,Near normal,Moderate drought,Near normal,Severe drought,Moderate drought,Moderate drought,Near normal,Near normal
South Africa,Gauteng,ZAR,01/08/20,1.62910138,-0.50580233,moderately wet,01/12/05,-0.2050487,-0.7063486,-1.4899127,-0.8033782,-1.1521107,-1.0130132,-0.9202249,-0.2070846,-0.515003,31.3773786,41.9586166,86.7485324,72.3650642,88.1894613,116.431711,55.6622346,13.6829399,4.26558356,0.99650574,0.04245534,-1.6351447,-0.9622582,0.7763687,-0.45736,0.39513513,-0.2075172,1.3391696,Near normal,Near normal,Moderate drought,Near normal,Moderate drought,Moderate drought,Near normal,Near normal,Near normal
Namibia,KwaZulu-Natal,NAM,01/06/19,8.610276336,0.47273737,moderately wet,01/01/06,0.78806186,0.67631435,0.48182812,0.283953,0.2870664,0.7978136,0.2790171,0.40540445,-0.1566341,146.639861,206.126253,197.203502,208.461586,143.479949,221.340935,156.665302,81.4012973,29.0589324,-0.4528429,-1.8328642,-3.5835114,-1.3857819,0.17924172,-2.9693596,-0.8986128,-0.7302762,1.5448802,Near normal,Near normal,Near normal,Near normal,Near normal,Near normal,Near normal,Near normal,Near normal
Namibia,KwaZulu-Natal,NAM,01/07/19,6.11939619,-3.0582101,moderately wet,01/02/06,0.43186215,1.2023237,1.0712771,0.24785912,0.85765624,1.1298722,1.5018784,0.6811995,-1.0507897,132.230205,178.173206,180.915802,163.165373,131.49976,176.894357,199.91942,97.856659,22.1233404,-5.0187335,-6.221704,-5.890819,-3.931401,-2.0349088,-6.2470613,-4.4332767,-1.4259773,0.65428835,Near normal,Moderately wet,Moderately wet,Near normal,Near normal,Moderately wet,Very wet,Near normal,Moderate drought
