year,spei_Eastern Cape,spei_Free State,spei_Gauteng,spei_KwaZulu-Natal,spei_Limpopo,spei_Mpumalanga,spei_North West,spei_Northern Cape,spei_Western Cape,Total precipitation_Eastern Cape,Total precipitation_Free State,Total precipitation_Gauteng,Total precipitation_KwaZulu-Natal,Total precipitation_Limpopo,Total precipitation_Mpumalanga,Total precipitation_North West,Total precipitation_Northern Cape,Total precipitation_Western Cape,gwsa_Eastern Cape,gwsa_Free State,gwsa_Gauteng,gwsa_KwaZulu-Natal,gwsa_Limpopo,gwsa_Mpumalanga,gwsa_North West,gwsa_Northern Cape,gwsa_Western Cape,spei_status_Eastern Cape,spei_status_Free State,spei_status_Gauteng,spei_status_KwaZulu-Natal,spei_status_Limpopo,spei_status_Mpumalanga,spei_status_North West,spei_status_Northern Cape,spei_status_Western Cape
01/05/04,-0.123776525,0.026014477,0.42275897,-0.6805121,1.3902342,0.27560112,-0.11513458,-0.35608095,-0.34490064,5.421572803,2.295926139,6.634535367,12.4333686,3.59713508,7.451153671,4.648914027,0.994783214,5.749014827,-1.3800184,-1.7687836,0.42088723,2.3177109,0.040866733,0.13922882,0.10481988,-1.0621277,-0.2319197,Near normal,Near normal,Near normal,Near normal,Moderately wet,Near normal,Near normal,Near normal,Near normal
01/06/04,-0.4726775,-0.7641176,-0.76643115,-1.3705187,-0.4967889,-0.82800233,-0.7300013,-0.5301562,-0.21355113,20.90141403,11.23986948,10.84431738,10.4256328,2.986331223,9.471677685,4.177742324,9.026167365,44.57844077,-0.58246773,-2.8999627,-0.30598912,2.7823913,-2.5151172,-0.46080682,-0.7162814,-0.6550849,-0.21040253,Near normal,Near normal,Near normal,Moderate drought,Near normal,Near normal,Near normal,Near normal,Near normal
01/07/04,-0.42183805,-0.8424551,-0.33931527,0.60194147,-0.31464645,0.38223788,-1.1270189,-1.55864,-0.82467496,29.4227253,9.754323159,11.61128385,61.17230902,15.91131775,39.14327397,3.540520271,3.815805398,26.34439212,0.6783704,-1.4887627,0.6760159,2.738101,-1.3355131,0.5980116,0.73745376,1.3131527,1.6636608,Near normal,Near normal,Near normal,Near normal,Near normal,Near normal,Moderate drought,Severe drought,Near normal
01/08/04,-0.18162403,-0.29446408,-0.13279642,0.5467452,-0.4523945,0.23690937,-0.84566855,-0.87271976,-0.13770813,25.44456708,18.54793248,14.25686853,27.09840791,10.4436076,14.50645068,7.534925238,4.479734304,30.9647891,0.9477809,-1.2556894,-0.19176187,2.5637312,-1.4799099,0.19941334,0.012587902,0.3470397,0.825629,Near normal,Near normal,Near normal,Near normal,Near normal,Near normal,Near normal,Near normal,Near normal
01/09/04,1.0242114,0.44526234,-0.29598054,0.69410235,-0.34538126,-0.069162294,-0.11189152,0.09323703,-0.37409028,88.58406121,37.44028502,3.914522007,63.96023744,4.312976421,19.31992844,8.618219726,21.94937239,21.94748604,-0.6038563,-0.77766854,0.34977493,0.85085994,-1.7901622,-0.1968565,-0.13500781,-0.043021977,1.4435725,Moderately wet,Near normal,Near normal,Near normal,Near normal,Near normal,Near normal,Near normal,Near normal
01/10/04,0.2779466,-0.38893816,-1.2244216,-0.8145597,-0.9162547,-1.07044,-0.62179196,0.081244454,0.20498116,42.73404667,47.05315527,43.25651915,61.97378462,23.85067701,48.82013828,38.69186323,26.88014736,54.98117041,-3.7167785,-0.97685593,-0.24092308,1.3722203,-2.5013123,-0.3897556,0.07964825,0.7527427,2.16625,Near normal,Near normal,Moderate drought,Near normal,Near normal,Moderate drought,Near normal,Near normal,Near normal
01/11/04,-0.23473842,-1.0343617,-1.5262669,-0.49464133,-1.5926865,-0.9520905,-1.3512645,-0.9048885,-0.45936924,55.98764028,40.52312907,77.95992546,116.0372398,37.92225359,114.4819241,28.12908125,6.383336069,7.100911233,-0.5679806,1.0868335,1.0123279,1.3608719,-0.7711461,-0.80965704,1.5890902,-0.046365995,2.6105223,Near normal,Moderate drought,Severe drought,Near normal,Severe drought,Near normal,Moderate drought,Near normal,Near normal
01/12/04,-0.8038698,-1.2933532,-1.1821542,-0.791837,-1.4605011,-1.1137936,-1.0034142,-1.4509577,-0.09836334,124.6829959,127.8143887,164.0519862,122.1181659,107.7436624,159.3091384,109.1490986,27.94904576,36.04401639,-1.3994933,-2.1259546,-2.9384294,-3.5586863,-1.6844397,-4.527134,-1.1286734,0.70239437,2.7339385,Near normal,Moderate drought,Moderate drought,Near normal,Moderate drought,Moderate drought,Moderate drought,Moderate drought,Near normal
01/01/05,0.013723742,-0.3420352,-0.13077441,0.143026,-1.3253671,-0.5511001,-0.24654625,-1.3285456,-0.7606748,123.8343706,163.9467028,160.2652794,200.0194516,85.17376303,169.0131864,108.589979,50.4558972,29.89275323,-3.1859932,-4.4389973,-6.895514,-6.473314,0.16175367,-5.495267,-3.7825863,-0.45470488,1.1713096,Near normal,Near normal,Near normal,Near normal,Moderate drought,Near normal,Near normal,Moderate drought,Near normal
01/02/05,0.555147,0.2088082,0.079012446,0.17544663,-0.9604763,-0.53728396,0.013145996,-0.5945358,-0.07450688,95.67313305,85.61417751,70.21358481,157.4620258,38.7559769,85.14750679,54.10647575,38.49055893,22.01840029,-2.6759188,-3.7946503,-3.553665,-4.4459295,3.4681165,-2.8265378,-2.1007373,-1.1586214,0.23130196,Near normal,Near normal,Near normal,Near normal,Near normal,Near normal,Near normal,Near normal,Near normal
01/03/05,0.07663743,0.24734496,-0.09896028,0.5262907,-1.0976369,-0.2566297,-0.12901586,-0.29882336,-0.4642076,82.61868933,88.16179466,71.64793484,173.4288207,47.04998765,93.48022064,76.29455796,38.85457796,22.82690238,-2.8711994,-4.557538,-4.502811,-6.7102494,2.6912792,-3.255819,-1.6214219,-0.509775,0.97672784,Near normal,Near normal,Near normal,Near normal,Moderate drought,Near normal,Near normal,Near normal,Near normal
01/04/05,-0.1896447,-0.097205155,-0.30655423,0.008523364,-0.85267204,-0.49908534,-0.093649626,0.002581337,0.3229899,52.91284318,65.22326916,76.66004403,40.29647193,41.73031578,66.07700527,74.27119136,50.74618206,66.36291449,-1.8180914,-3.9796593,-2.9623451,-3.064688,4.0299573,-0.8334281,-2.0398865,-1.6843129,-1.5983907,Near normal,Near normal,Near normal,Near normal,Near normal,Near normal,Near normal,Near normal,Near normal
01/05/05,-0.036847595,-0.053996608,0.009065514,-0.10257154,-0.8357387,-0.4721918,0.2243357,0.41032094,0.5417546,46.97734474,23.71957446,3.484090185,12.46713221,3.550073562,6.570749971,7.907630608,27.07456296,36.08108653,-0.8057144,-2.853771,-2.1838505,-0.5367462,3.246843,-0.62221813,-0.9862404,-0.9547152,-2.0490994,Near normal,Near normal,Near normal,Near normal,Near normal,Near normal,Near normal,Near normal,Near normal
01/06/05,0.07592542,-0.12414518,-0.22881019,-1.1158533,-1.0548904,-1.0549636,0.15748118,0.6046318,0.7003464,13.03201305,13.04522358,1.570281456,21.74188662,2.665431314,4.969098891,2.60178583,6.978352579,36.29651879,0.98571265,-2.660371,-2.1838524,0.26814622,1.9393039,-1.2605283,-1.0902535,-0.3276496,-0.504267,Near normal,Near normal,Near normal,Moderate drought,Moderate drought,Moderate drought,Near normal,Near normal,Near normal
01/07/05,-0.63494694,-0.64501905,-1.7966316,-1.0684664,-2.1505842,-1.959614,-1.4789417,-0.31093886,-0.7751497,3.408818195,0.626545096,0.179822842,5.621020319,2.070769067,2.427493231,0.138470785,0.827455417,15.9685764,0.78189963,-2.6050088,-1.5131513,2.2502673,1.3912034,-0.051834792,-1.1044104,0.71660686,-1.4872772,Near normal,Near normal,Severe drought,Moderate drought,Extreme drought,Severe drought,Moderate drought,Near normal,Near normal
01/08/05,-0.69452226,-0.90441334,-3.4867249,-0.7071208,-3.0548966,-2.8574321,-2.6244164,-0.9390044,-0.8729161,37.95870828,35.21723448,20.33674021,29.92191284,4.051107372,23.51147782,7.088494761,8.785820566,40.03125465,2.759696,-1.8407947,-3.2381551,3.7707217,1.1996009,0.50759137,-1.1748731,0.23143633,0.5612402,Near normal,Near normal,Extreme drought,Near normal,Extreme drought,Extreme drought,Extreme drought,Near normal,Near normal
01/09/05,-1.1686485,-1.5746112,-3.766288,-1.1709886,-2.6426451,-2.6314716,-2.3173401,-1.3831918,-1.2079619,22.68921716,9.876068605,4.23239416,35.60389952,2.656880469,11.16724662,2.318654964,1.537042176,15.67563176,-0.35166103,-1.687627,-1.6656206,1.7584777,1.3574729,0.20675942,-1.1479064,0.15673867,-0.92899513,Moderate drought,Severe drought,Extreme drought,Moderate drought,Extreme drought,Extreme drought,Extreme drought,Moderate drought,Moderate drought
01/10/05,-1.0310506,-0.8441714,-2.1145608,-1.0184135,-2.3307524,-2.3512745,-1.5814528,-0.46789372,-0.806294,51.9222067,67.52206095,23.12158741,86.11316721,7.296802975,44.08539974,16.64488176,19.72516302,19.17622645,2.394951,-0.16897544,-1.3181528,2.717791,1.8207847,0.52598155,0.14520983,1.0965332,1.6885812,Moderate drought,Near normal,Extreme drought,Moderate drought,Extreme drought,Extreme drought,Severe drought,Near normal,Near normal
